area_id,area_name,city,area_type,locality_type,pincode,retail_shops,restaurants,banks_atms,medical_facilities,educational_centers,parking_lots,vacant_shops,pedestrian_count_15min,vehicle_count_15min,footfall_intensity,road_condition,street_lighting,cleanliness,avg_daily_customers,avg_transaction_value,monthly_rent,business_growth,property_price_sqft,residential_rent_1bhk,property_trend,google_rating,google_reviews_count,zomato_restaurants,population_estimate,last_survey_date,competition_level,parking_availability,main_issue,news_mentions_6months,col,monthly_rent_capped,property_price_sqft_capped,business_density,business_density_score,total_footfall,footfall_score,infrastructure_score,property_value_score,digital_presence_score,growth_momentum_score,competition_score,vacancy_rate,occupancy_score,economic_health_score,investment_category,recommended_business,risk_score,expected_return
AREA_001,Sector 17 Market,Patiala,Urban,Commercial,143684.0,43.0,27.0,10.0,5,4,3.0,3.0,275.0,149.0,High,5.0,5,4.0,130.0,1324.0,31848.0,Growing,6245.0,19108.0,Falling,4.5,670.0,27.0,37039.0,2025-01-05,High,Easy,Poor infrastructure,13.0,31848.0,31848.0,6245.0,80.0,74.77,349.5,92.34,93.33,78.58,90.0,100,30,6.52,93.48,82.0,High Potential,"Premium F&B, Tech Retail, Co-working",6.56,80.63
AREA_002,Sector 22,Chandigarh,Semi-Urban,Mixed,141220.0,25.0,13.0,7.0,5,1,0.0,4.0,116.0,51.0,Medium,3.0,3,3.0,76.0,763.0,16898.0,Growing,4807.0,10138.0,Falling,4.1,1453.0,13.0,33023.0,2025-01-23,Low,Easy,High rent,9.0,16898.0,16898.0,4807.0,45.0,42.06,141.5,37.38,60.0,60.49,82.0,100,100,13.79,86.21000000000001,64.6,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",21.65,62.96
AREA_003,Sector 35,Patiala,Urban,Commercial,,,,,4,3,,,270.4,177.0,Medium,6.0,5,,142.6,820.8,,Declining,,,Falling,,,,,,Low,Easy,High rent,,38797.0,,,,,358.9,94.82,110.0,,,20,100,,,,Low Potential,"Essential Services, Kirana, Mobile Recharge",,
AREA_004,Sector 43,Patiala,Urban,Commercial,148023.0,51.0,21.0,12.0,8,6,4.0,6.0,278.0,104.0,High,4.0,4,4.0,181.0,1175.0,40822.0,Growing,7361.0,24493.0,Rising,4.3,2483.0,21.0,30350.0,2025-01-17,High,Moderate,High rent,16.0,40822.0,40822.0,7361.0,84.0,78.5,330.0,87.19,80.0,92.63,86.0,100,30,10.53,89.47,81.11,High Potential,"Premium F&B, Tech Retail, Co-working",13.37,85.72
AREA_005,Sector 8,Zirakpur,Urban,Mixed,148450.0,28.0,17.0,10.0,7,5,3.0,1.0,144.0,67.0,Medium,5.0,4,4.0,78.0,1388.0,33258.0,Growing,6404.0,19954.0,Falling,3.4,1897.0,17.0,46404.0,2025-01-07,High,Moderate,High rent,8.0,33258.0,33258.0,6404.0,55.0,51.4,177.5,46.9,86.67,80.58,68.0,100,30,3.45,96.55,66.19,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",6.41,71.95
AREA_006,Sector 15,Chandigarh,Semi-Urban,Commercial,142246.0,31.0,15.0,4.0,3,4,0.0,5.0,83.0,57.0,Medium,4.0,4,3.0,55.0,664.0,21822.0,Stable,3576.0,13093.0,Rising,3.3,2093.0,15.0,18357.0,2025-01-06,Low,Easy,High rent,13.0,21822.0,21822.0,3576.0,50.0,46.73,111.5,29.46,73.33,45.0,66.0,60,100,13.89,86.11,56.65,Moderate Potential,"Retail Chains, Quick Service Restaurants, Banks",17.72,51.99
AREA_007,Sector 26,Ludhiana,Semi-Urban,Mixed,144807.0,24.0,14.0,3.0,2,2,3.0,1.0,66.0,31.0,Medium,4.0,4,3.0,36.0,559.0,13210.0,Stable,4223.0,7926.0,Rising,3.9,287.0,14.0,25239.0,2025-01-17,Low,Difficult,parking shortage,9.0,13210.0,13210.0,4223.0,41.0,38.32,81.5,21.53,73.33,53.14,78.0,60,100,4.0,96.0,55.72,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",10.8,54.69
AREA_008,Sector 9,Shimla,Semi-Urban,Commercial,140362.0,21.0,14.0,6.0,4,4,1.0,2.0,62.0,26.0,Medium,3.0,3,2.0,19.0,813.0,15331.0,Declining,4174.0,9198.0,Stable,3.6,1906.0,14.0,23865.0,2025-01-01,Low,Easy,High rent,3.0,15331.0,15331.0,4174.0,41.0,38.32,75.0,19.82,53.33,52.52,72.0,20,100,8.7,91.3,45.73,Moderate Potential,"Retail Chains, Quick Service Restaurants, Banks",20.09,48.45
AREA_009,Sector 11,Karnal,Rural,Mixed,,,,,1,2,,,46.6,21.0,Medium,6.0,3,,23.0,1175.6,,Declining,,,Rising,,,,,,Low,Easy,High rent,,6099.0,,,,,57.1,15.09,90.0,,,20,100,,,,Low Potential,"Essential Services, Kirana, Mobile Recharge",,
AREA_010,Sector 19,Zirakpur,Urban,Commercial,147942.0,48.0,34.0,10.0,7,7,5.0,5.0,234.0,159.0,High,5.0,4,4.0,124.0,738.0,46525.0,Declining,6658.0,27915.0,Stable,4.4,1625.0,34.0,44616.0,2025-01-03,Medium,Difficult,High rent,10.0,46525.0,46525.0,6658.0,92.0,85.98,313.5,82.83,86.67,83.78,88.0,20,60,9.43,90.57,72.96,High Potential,"Premium F&B, Tech Retail, Co-working",10.6,77.29
