area_id,area_name,city,area_type,locality_type,pincode,retail_shops,restaurants,banks_atms,medical_facilities,educational_centers,parking_lots,vacant_shops,pedestrian_count_15min,vehicle_count_15min,footfall_intensity,road_condition,street_lighting,cleanliness,avg_daily_customers,avg_transaction_value,monthly_rent,business_growth,property_price_sqft,residential_rent_1bhk,property_trend,google_rating,google_reviews_count,zomato_restaurants,population_estimate,last_survey_date,competition_level,parking_availability,main_issue,news_mentions_6months,col,monthly_rent_capped,property_price_sqft_capped,business_density,business_density_score,total_footfall,footfall_score,infrastructure_score,property_value_score,digital_presence_score,growth_momentum_score,competition_score,vacancy_rate,occupancy_score,economic_health_score,investment_category,recommended_business,risk_score,expected_return
AREA_134,Dera Bassi Industrial Zone 2,Mohali,Urban,Commercial,140607.0,63.0,30.0,9.0,6,4,5.0,11.0,285.0,136.0,High,4.0,5,4.0,192.0,1194.0,30123.0,Growing,6156.0,18073.0,Stable,3.8,2213.0,30.0,37503.0,2025-01-23,Low,Moderate,High rent,16.0,30123.0,30123.0,6156.0,102.0,95.33,353.0,93.26,86.67,77.46,76.0,100,100,14.86,85.14,90.75,High Potential,"Premium F&B, Tech Retail, Co-working",14.4,85.43
AREA_011,Sector 20,Patiala,Urban,Commercial,141480.0,64.0,28.0,10.0,9,6,3.0,4.0,266.0,87.0,High,5.0,4,4.0,148.0,885.0,34819.0,Growing,6088.0,20891.0,Rising,3.9,579.0,28.0,45653.0,2025-01-17,Low,Moderate,parking shortage,11.0,34819.0,34819.0,6088.0,102.0,95.33,309.5,81.77,86.67,76.61,78.0,100,100,5.88,94.12,88.78,High Potential,"Premium F&B, Tech Retail, Co-working",8.11,83.91
AREA_165,Patran Zone 2,Ambala,Urban,Commercial,147093.0,44.0,32.0,11.0,7,4,5.0,6.0,281.0,153.0,High,4.0,4,3.0,178.0,504.0,41292.0,Growing,6826.0,24775.0,Rising,3.9,694.0,32.0,34731.0,2025-01-28,Low,Moderate,parking shortage,,41292.0,41292.0,6826.0,87.0,81.31,357.5,94.45,73.33,85.89,78.0,100,100,12.0,88.0,87.37,High Potential,"Premium F&B, Tech Retail, Co-working",16.4,86.78
AREA_104,Sector 15 Zone 2,Mohali,Urban,Commercial,143345.0,65.0,25.0,12.0,6,5,3.0,8.0,287.0,183.0,High,5.0,5,3.0,103.0,517.0,32926.0,Stable,7555.0,19755.0,Falling,3.4,2080.0,25.0,43908.0,2025-01-05,Low,Difficult,Low footfall,13.0,32926.0,32926.0,7555.0,102.0,95.33,378.5,100.0,86.67,95.07,68.0,60,100,10.96,89.03999999999999,87.27,High Potential,"Premium F&B, Tech Retail, Co-working",11.67,90.39
AREA_079,Phillaur,Chandigarh,Urban,Commercial,140715.0,69.0,21.0,6.0,8,3,3.0,13.0,265.0,85.0,High,5.0,4,4.0,108.0,523.0,43088.0,Growing,6404.0,25852.0,Falling,3.4,2441.0,21.0,48453.0,2025-01-27,Low,Moderate,High rent,7.0,43088.0,43088.0,6404.0,96.0,89.72,307.5,81.24,86.67,80.58,68.0,100,100,15.85,84.15,87.04,High Potential,"Premium F&B, Tech Retail, Co-working",15.09,84.46
AREA_176,Nakodar Zone 2,Panchkula,Urban,Commercial,142396.0,55.0,20.0,11.0,7,3,3.0,7.0,286.0,111.0,High,5.0,5,4.0,158.0,938.0,35890.0,Growing,7653.0,21534.0,Stable,3.8,2341.0,20.0,46731.0,2025-01-05,Medium,Moderate,Low footfall,18.0,35890.0,35890.0,7653.0,86.0,80.37,341.5,90.22,93.33,96.3,76.0,100,60,11.29,88.71000000000001,86.47,High Potential,"Premium F&B, Tech Retail, Co-working",9.9,90.4
AREA_131,Mullanpur Zone 2,Ambala,Urban,Commercial,149452.0,50.0,32.0,12.0,8,7,2.0,6.0,232.0,133.0,High,4.0,4,4.0,108.0,673.0,40416.0,Stable,7722.0,24249.0,Falling,4.6,1482.0,32.0,30864.0,2025-01-27,Low,Difficult,High rent,19.0,40416.0,40416.0,7722.0,94.0,87.85,298.5,78.86,80.0,97.17,92.0,60,100,10.71,89.28999999999999,83.63,High Potential,"Premium F&B, Tech Retail, Co-working",13.5,89.05
AREA_064,Rajpura,Panchkula,Urban,Commercial,140744.0,59.0,31.0,5.0,9,3,3.0,10.0,275.0,122.0,High,5.0,4,3.0,129.0,1414.0,48204.0,Stable,6598.0,28922.0,Stable,4.3,985.0,31.0,34474.0,2025-01-23,Low,Difficult,Low footfall,6.0,48204.0,48204.0,6598.0,95.0,88.79,336.0,88.77,80.0,83.03,86.0,60,100,14.49,85.51,83.3,High Potential,"Premium F&B, Tech Retail, Co-working",16.14,83.19
AREA_001,Sector 17 Market,Patiala,Urban,Commercial,143684.0,43.0,27.0,10.0,5,4,3.0,3.0,275.0,149.0,High,5.0,5,4.0,130.0,1324.0,31848.0,Growing,6245.0,19108.0,Falling,4.5,670.0,27.0,37039.0,2025-01-05,High,Easy,Poor infrastructure,13.0,31848.0,31848.0,6245.0,80.0,74.77,349.5,92.34,93.33,78.58,90.0,100,30,6.52,93.48,82.0,High Potential,"Premium F&B, Tech Retail, Co-working",6.56,80.63
AREA_139,Morinda Zone 2,Mohali,Urban,Commercial,146567.0,66.0,21.0,12.0,8,7,3.0,5.0,281.0,93.0,High,5.0,5,4.0,100.0,534.0,40094.0,Declining,7849.0,24056.0,Rising,4.1,1333.0,21.0,34486.0,2025-01-21,Low,Moderate,High rent,10.0,40094.0,40094.0,7849.0,99.0,92.52,327.5,86.53,93.33,98.77,82.0,20,100,7.04,92.96,81.13,High Potential,"Premium F&B, Tech Retail, Co-working",6.93,88.19
